DATE,POSITIVES / POPULATION,(POSITIVES TODAY) / (POSITIVES 10 DD BACK),VALUE,REGION
2020-04-16,0.0013991334,1.298245614,23.125,Abruzzo
2020-04-16,0.0004786409,1.0419847328,3.4125,Basilicata
2020-04-16,0.0004310152,1.1731301939,10.5875,Calabria
2020-04-16,0.0005339879,1.1556708673,38.975,Campania
2020-04-16,0.003071137,1.0468929584,170.7875,Emilia-Romagna
2020-04-16,0.0010920688,0.952722063,16.625,Friuli Venezia Giulia
2020-04-16,0.0007025963,1.2557575758,51.8,Lazio
2020-04-16,0.0021957354,1.1026628168,42.9625,Liguria
2020-04-16,0.0033027888,1.1623169061,413.625,Lombardia
2020-04-16,0.0020311367,0.8429573664,39.05,Marche
2020-04-16,0.0006538916,1.0855614973,2.5375,Molise
2020-04-16,0.003186,1.2642857143,19.9125,P.A. Bolzano
2020-04-16,0.0037078492,1.1354733406,26.0875,P.A. Trento
2020-04-16,0.00313783,1.3070649597,172.2875,Piemonte
2020-04-16,0.0006459332,1.2411347518,32.8125,Puglia
2020-04-16,0.0005232483,1.0561660562,10.8125,Sardegna
2020-04-16,0.0004168775,1.1614325069,26.35,Sicilia
2020-04-16,0.0017670304,1.2475004716,82.6625,Toscana
2020-04-16,0.000602987,0.6146788991,6.7,Umbria
2020-04-16,0.0040825012,0.9135802469,6.475,Valle d'Aosta
2020-04-16,0.0022007002,1.1108825345,135,Veneto
2020-04-17,0.001468712,1.302481556,24.275,Abruzzo
2020-04-17,0.000466368,1.0037735849,3.325,Basilicata
2020-04-17,0.0004167667,1.1173260573,10.2375,Calabria
2020-04-17,0.0005184032,1.094755877,37.8375,Campania
2020-04-17,0.0030536043,1.0411557327,169.8125,Emilia-Romagna
2020-04-17,0.001172537,1.0355329949,17.85,Friuli Venezia Giulia
2020-04-17,0.0007144645,1.2523031204,52.675,Lazio
2020-04-17,0.0022097902,1.0768991283,43.2375,Liguria
2020-04-17,0.0033371242,1.1796210705,417.925,Lombardia
2020-04-17,0.0020525924,0.8445692884,39.4625,Marche
2020-04-17,0.0006699973,1.1243243243,2.6,Molise
2020-04-17,0.003164,1.2159877018,19.775,P.A. Bolzano
2020-04-17,0.003535515,1.0529100529,24.875,P.A. Trento
2020-04-17,0.0031867768,1.307735426,174.975,Piemonte
2020-04-17,0.0006535613,1.2428638278,33.2,Puglia
2020-04-17,0.0005274826,1.0621193666,10.9,Sardegna
2020-04-17,0.0004230081,1.1506186122,26.7375,Sicilia
2020-04-17,0.0017590142,1.2130090289,82.2875,Toscana
2020-04-17,0.0005557381,0.5839243499,6.175,Umbria
2020-04-17,0.0038697067,0.8279932546,6.1375,Valle d'Aosta
